,Product Name,Price,Net,Brand,IMG1,IMG2,IMG3,IMG4,Sold By
0,Fresh Blueberries,$3.90,125g,Fresh,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/10632060_XL1_20201014.jpg?w=1200&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/10632060_LXL1_20201014.jpg?w=108&q=70,None,None,None
1,Coco Thumb Fresh Coconut,$3.90,1 per pack,Thai,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13167850_XL1_20221123.jpg?w=1200&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13167850_LXL1_20201217.jpg?w=108&q=70,None,None,None
2,China Fuji Apples,$2.60,5 per pack,China,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13198956_XL1_20221122.jpg?w=1200&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13198956_LXL1_20211207.jpg?w=108&q=70,None,None,None
3,Zespri New Zealand Kiwifruit - SunGold,$5.95,4 per pack,Zespri,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13044104_XL1_20221122.jpg?w=1200&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13044104_LXL1_20210621.jpg?w=108&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13044104_BXL1_20210621.jpg?w=108&q=70,None,None
4,Pasar Malaysia Seedless Guava,$2.95,600g,Pasar,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/10828717_XL1_20221123.jpg?w=1200&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/10828717_LXL1_20210609.jpg?w=108&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/10828717_BXL1_20210609.jpg?w=108&q=70,None,None
5,Pasar Thai Young Coconut,$2.20,1 per pack,Pasar,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13174747_XL1_20221123.jpg?w=1200&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13174747_BXL1_20210517.jpg?w=108&q=70,None,None,None
6,China Shine Muscat Grapes,$7.95,500g,China,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13224530_XL1_20221122.jpg?w=1200&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13224530_LXL1_20221120.jpg?w=108&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13224530_RXL1_20221120.jpg?w=108&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13224530_BXL1_20221120.jpg?w=108&q=70,None
7,Fresh Hong Kong Papaya,$2.45,1 per pack,Fresh,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13056925_XL1_20221123.jpg?w=1200&q=70,None,None,None,None
8,Zespri New Zealand Kiwifruit - Green,$4.25,4 - 6 per pack,Zespri,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13045571_XL1_20221122.jpg?w=1200&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13045571_LXL1_20220816.jpg?w=108&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13045571_BXL1_20210621.jpg?w=108&q=70,None,None
9,Thailand Cut Coconut,$3.95,500g,Thai,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/11614323_XL1_20221123.jpg?w=1200&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/11614323_LXL1.jpg?w=108&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/11614323_BXL1.jpg?w=108&q=70,None,None
10,Zespri New Zealand Kiwifruit - SunGold (Organic),$7.65,600g,Zespri,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13053640_XL1_20221122.jpg?w=1200&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13053640_LXL1_20210621.jpg?w=108&q=70,None,None,None
11,Pineapple,$2.55,1 per pack,Fresh!,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13112377_XL1_20221122.jpg?w=1200&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13112377_LXL1_20220509.jpg?w=108&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13112377_RXL1_20220509.jpg?w=108&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13112377_BXL1_20220509.jpg?w=108&q=70,None
12,Pasar Papaya - Medium,$2.45,1 per pack,Pasar,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13004612_XL1.jpg?w=1200&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13004612_LXL1_20210303.jpg?w=108&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13004612_RXL1_20210303.jpg?w=108&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13004612_BXL1_20210303.jpg?w=108&q=70,None
13,Salustiana Orange,$4.45,800g,SPAIN/RGENTINA,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13196074_XL1_20221123.jpg?w=1200&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13196074_LXL1_20211006.jpg?w=108&q=70,None,None,None
14,Spain Black Plum 500g,$3.45,500g,Spain,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13163394_XL1_20221123.jpg?w=1200&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13163394_LXL1.jpg?w=108&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13163394_RXL1.jpg?w=108&q=70,None,None
15,Australia R2E2 Mango,$6.50,1 per pack,Australia,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13141360_XL1_20221122.jpg?w=1200&q=70,None,None,None,None
16,Pasar South Korea Strawberry,$6.50,250g,Pasar,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13092218_XL1_20221123.jpg?w=1200&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13092218_LXL1.jpg?w=108&q=70,None,None,None
17,Berryfield Whole Frozen Blueberries,$21.20,1kg,BERRYFIELD,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13177827_XL1_20210510.jpg?w=1200&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13177827_BXL1_20210510.jpg?w=108&q=70,None,None,None
18,Ardo Fruit berry mix,$8.35,1000 G,Ardo,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90102592_XL1_20210921.jpg?w=1200&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90102592_LXL1_20210921.jpg?w=108&q=70,None,None,Angliss Singapore
19,Ardo Frozen Strawberries,$8.35,1 KG,Ardo,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90150169_XL1_20221019.jpg?w=1200&q=70,None,None,None,Angliss Singapore
20,Pasar Prepacked Carrots,$0.95,500g,Pasar,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13000321_XL1_20221122.jpg?w=1200&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13000321_BXL1.jpg?w=108&q=70,None,None,None
21,Holland Potato (China),$1.25,1kg,Holland,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13057650_XL1_20221122.jpg?w=1200&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13057650_BXL1.jpg?w=108&q=70,None,None,None
22,Chef China Garlic - Pure White,$1.75,500g,Chef,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/10734550_XL1_20221122.jpg?w=1200&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/10734550_LXL1_20211122.jpg?w=108&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/10734550_RXL1_20211122.jpg?w=108&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/10734550_BXL1_20211122.jpg?w=108&q=70,None
23,Chef Chinese Spinach (Phuay Leng),$1.55,250g,Chef,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/10355403_XL1_20221122.jpg?w=1200&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/10355403_LXL1.jpg?w=108&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/10355403_BXL1.jpg?w=108&q=70,None,None
24,Hokto Mushroom - Buna Shimeiji,$1.50,100g,Hokto,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/11212658_XL1_20221123.jpg?w=1200&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/11212658_LXL1_20210819.jpg?w=108&q=70,None,None,None
25,Pasar Long Bean,$1.00,200g,Pasar,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/10352966_XL1_20221122.jpg?w=1200&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/10352966_LXL1_20221003.jpg?w=108&q=70,None,None,None
26,Hokto Mushroom - White Shimeiji,$1.50,100g,Hokto,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/11017131_XL1_20221123.jpg?w=1200&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/11017131_LXL1_20210819.jpg?w=108&q=70,None,None,None
27,Freshco China Fresh Celery,$2.60,1 per pack,China,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13152295_XL1_20221122.jpg?w=1200&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13152295_LXL1_20210423.jpg?w=108&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13152295_BXL1_20210423.jpg?w=108&q=70,None,None
